Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name
study_id,demographics,,text,Study ID,,,,,,,,,,,
gender,demographics,Demographics Information,dropdown,Gender,"0, Female | 1, Male | 2, Other",,,,,,,,,,
other_gender,demographics,,dropdown,Other gender,"1, Not tested | 2, XX genotype/Female | 3, XY genotype/Male | 4, XXY Klinefelter's Syndrome | 5, XO Turner's Syndrome | 6, XXXY syndrome | 7, XXYY syndrome | 8, Mosaic including XXXXY | 9, Penta X syndrome | 10, XYY | 11, Unknown | 12, Other",Newborn Screening LTFU,,,,,[gender] = '2',,,,
other_gender_other_dtls,demographics,,text,Please specify Other gender,,Newborn Screening LTFU,,,,,[other_gender]='12',,,,
year_of_birth,demographics,,text,Year of birth (XXXX),,,,,,,,,,,
ethnicity,demographics,,dropdown,Ethnicity,"1, Non-Hispanic | 2, Hispanic or Latino | 3, Unknown",,,,,,,,,,
ethnicity_followup,demographics,,dropdown,Ethnicity follow-up,"1, Ashkenazi Jewish | 2, Amish | 3, French Canadian | 4, None of the above | 5, Unknown",,,,,,,,,,
race,demographics,,checkbox,Race,"1, White | 2, Black or African American | 3, American Indian or Alaska Native | 4, Native Hawaiian or Other Pacific Islander | 5, Asian | 6, More than one race | 7, Unknown or not reported",,,,,,,,,,
race__unknown_or_not_reported,demographics,,descriptive,You selected unknown or not reported and another answer choice. Please revise your answer.,,,,,,,[race(7)]='1' AND ([race(1)] = '1' or [race(2)] = '1' or [race(3)] = '1' or [race(4)] = '1' or [race(5)] = '1' or [race(6)] = '1'),,,,
demographics_feedback,demographics,Feedback,notes,"Please provide any feedback for this form (for example: missing questions, questions not relevant for a disease area, ambiguities, places where a textbox could be replaced with discrete choices, missing discrete choices)",,,,,,,,,,,
family_code,pediseq_study_id,,text,Family Code,,,number,,,,,,,,
family_member_code,pediseq_study_id,,radio,Family Member,"P, Proband | S, Sibling | HS, Half-Sibling | M, Mother | F, Father | O, Other","P - Proband, S - Sibling, M - Mother, F - Father",,,,,,,,,
other_family_member,pediseq_study_id,,text,Other family member,,,,,,,,,,,
affected_status,pediseq_study_id,,radio,Affected Status,"A, A | U, U",,,,,,,,,,
validation_or_prospective,pediseq_study_id,,radio,Validation or Prospective,"V, V | P, P",,,,,,,,,,
original_study_id,study_ids,,text,Original Study ID,,"Enter the subject's ID from the original consenting study (HLS, Mito, etc.)",,,,,,,,,
discarded_clinical,study_ids,,yesno,Discarded Clinical Specimen?,,,,,,,
birthweight_units,birth_history,,dropdown,Birthweight units,"0, kg | 1, lb",,,,,,
birthweight,birth_history,,text,Birthweight,,"Please indicate out to one decimal place unless units are lbs. Please round up to the nearest tenth if the hundredth position is 5 or higher.  (If units are lbs, specify ounces below)",number,,,,
birthweight_oz,birth_history,,text,Birthweight ounces,,,,,,,[birthweight_units] = '1'
birth_length_units,birth_history,,dropdown,Birth length units,"0, in | 1, cm",,,,,,
birth_length,birth_history,,text,Birth length,,Please indicate out to one decimal place. Please round up to the nearest tenth if the hundredth position is 5 or higher. ,number,,,,
birth_head_circumference,birth_history,,text,Birth head circumference (cm),,Please indicate out to one decimal place. Please round up to the nearest tenth if the hundredth position is 5 or higher. ,number,,,,
gestational_age_wks,birth_history,,text,Gestational age full weeks,,"Specify partial week in days below. If full term but exact month and days are unknown, specify 40 weeks and 0 days.",integer,,,,
gestational_age_days,birth_history,,text,Gestation age days,,,integer,0,6,,
mother_birth_age,birth_history,,text,Mother's age when child was born (years),,Please round up if the age is 6 months or more into the current year.,,,,,
gravida,birth_history,,text,"Gravida
(Number of prior gestations including proband)",,,integer,,,,
para,birth_history,,text,"Para
(Number of live births including the proband)",,,integer,,,,
assisted_reproduction_bool,birth_history,,radio,"Was any type of assisted reproduction (for example sperm donation, in vitro fertilization) used in the pregnancy for this child?","1, Yes | 2, No | 3, Unknown/Not documented",,,,,,
assisted_reproduction_spec,birth_history,,text,Please specify type of assisted reproduction,,,,,,,[assisted_reproduction_bool] = '1'
prior_pregnancy_history,birth_history,,checkbox,Did the mother have any of the following,"5, None | 1, spontaneous miscarriages | 2, still births | 3, terminations | 4, multiples (twins, triples) | 6, Unknown/Not documented",,,,,,[para] != [gravida]
miscarriages_no,birth_history,,text,Number of spontaneous miscarriages,,,integer,0,10,,[prior_pregnancy_history(1)] = '1'
miscarriages_gestational_age_weeks1,birth_history,,text,Gestational age of 1st miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=1
miscarriages_gestational_age_days1,birth_history,,text,Gestational age of 1st miscarriage in days (partial week),,,,,,,[miscarriages_no]>=1
miscarriages_gestational_age_weeks2,birth_history,,text,Gestational age of 2nd miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=2
miscarriages_gestational_age_days2,birth_history,,text,Gestational age of 2nd miscarriage in days (partial week),,,,,,,[miscarriages_no]>=2
miscarriages_gestational_age_weeks3,birth_history,,text,Gestational age of 3rd miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=3
miscarriages_gestational_age_days3,birth_history,,text,Gestational age of 3rd miscarriage in days (partial week),,,,,,,[miscarriages_no]>=3
miscarriages_gestational_age_weeks4,birth_history,,text,Gestational age of 4th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=4
miscarriages_gestational_age_days4,birth_history,,text,Gestational age of 4th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=4
miscarriages_gestational_age_weeks5,birth_history,,text,Gestational age of 5th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=5
miscarriages_gestational_age_days5,birth_history,,text,Gestational age of 5th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=5
miscarriages_gestational_age_weeks6,birth_history,,text,Gestational age of 6th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=6
miscarriages_gestational_age_days6,birth_history,,text,Gestational age of 6th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=6
miscarriages_gestational_age_weeks7,birth_history,,text,Gestational age of 7th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=7
miscarriages_gestational_age_days7,birth_history,,text,Gestational age of 7th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=7
miscarriages_gestational_age_weeks8,birth_history,,text,Gestational age of 8th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=8
miscarriages_gestational_age_days8,birth_history,,text,Gestational age of 8th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=8
miscarriages_gestational_age_weeks9,birth_history,,text,Gestational age of 9th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=9
miscarriages_gestational_age_days9,birth_history,,text,Gestational age of 9th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=9
miscarriages_gestational_age_weeks10,birth_history,,text,Gestational age of 10th miscarriage in full weeks,,Specify partial week in days below,,,,,[miscarriages_no]>=10
